player,team,team_country,position,age,birth_year,club,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,crosses,interceptions,tackles_won,pens_won,pens_conceded,own_goals,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct
Rodrigo De Paul,Argentina,Argentina,MF,32-028,1994,Inter Miami,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,1,0,,0,3.0,3.0,0.0,3.0,3.0,,0.0,0.0,1.0,0.0,1.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Thiago Almada,Argentina,Argentina,MF,25-056,2001,Atlético Madrid,1,1,54.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.67,0.0,0.0,,54.0,60.0,54.0,0,0,,0,3.0,1.0,0.0,1.0,1.67,-3.33,0.0,0.0,1.0,1.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Valentín Barco,Argentina,Argentina,"DF,MF",21-333,2004,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aiden O'Neill,Australia,Australia,MF,27-352,1998,NYCFC,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,90.0,100.0,90.0,2,0,,0,1.5,2.0,2.0,0.0,0.0,,0.0,1.0,5.0,0.0,4.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Ajdin Hrustic,Australia,Australia,MF,29-351,1996,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro Circati,Australia,Australia,DF,22-254,2003,Parma,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,,90.0,100.0,90.0,2,0,,0,1.5,2.0,2.0,0.0,0.0,,0.0,3.0,1.0,0.0,1.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,
Awer Mabil,Australia,Australia,"FW,MF",30-279,1995,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aziz Behich,Australia,Australia,"DF,MF",35-187,1990,Melb City,1,0,7.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,7.0,3.9,,0,1,7.0,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Cameron Burgess,Australia,Australia,DF,30-243,1995,Swansea City,2,2,135.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,68.0,75.0,68.0,1,0,,0,1.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Cammy Devlin,Australia,Australia,MF,28-014,1998,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Metcalfe,Australia,Australia,MF,26-228,1999,St Pauli,2,1,135.0,1.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.67,0.0,0.67,0.67,0.67,2.0,2.0,100.0,1.33,1.33,0.5,0.5,68.0,75.0,90.0,1,1,45.0,0,1.5,2.0,0.0,2.0,1.33,5.33,0.0,0.0,0.0,0.0,6.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
Cristian Volpato,Australia,Australia,MF,22-218,2003,Sassuolo,1,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,,30.0,16.7,,0,1,30.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Harry Souttar,Australia,Australia,DF,27-242,1998,Leicester City,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.5,0.5,0.0,0.0,90.0,100.0,90.0,2,0,,0,1.5,2.0,2.0,0.0,0.0,,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jackson Irvine,Australia,Australia,"DF,MF",33-106,1993,St Pauli,2,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,10.0,11.1,,0,2,10.0,0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,
Jacob Italiano,Australia,Australia,DF,24-326,2001,Grazer AK,2,2,163.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.55,0.0,0.0,,82.0,90.6,82.0,1,0,,0,1.5,1.0,2.0,-1.0,-0.55,-5.85,0.0,0.0,0.0,0.0,8.0,1.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,
Jason Geria,Australia,Australia,DF,33-042,1993,,2,0,62.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,31.0,34.4,,0,2,31.0,0,1.5,1.0,0.0,1.0,1.45,2.21,0.0,2.0,0.0,0.0,1.0,2.0,1.0,,,0.0,,,,,,,,,,,,,,,,,,
